Nevada,92,0,TRUCK FARMS - ELECTIVE COVERAGE (NV),Manufacturing,5,16,"$34,908 ","$113,236 ","$388,474 ","$1,070,954 ",0.85,0.85,8.99,10.57,1.87,1%,Written safety program,0,0,Low claims frequency (< 2) class code,Average loss ratio for class below 50%,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,0,0,0,0,0,0,0
Arkansas,2001,0,CRACKER MFG.,Manufacturing,5,72,"$212,080 ","$12,284,322 ","$9,233,902 ","$440,854,976 ",1.13,1.12,2.3,2.79,2.71,53%,Written safety program,0,0,0,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,High claims frequency (> 2) class code,Average loss ratio for class above 50%,0,0,0,0,0
Kentucky,2001,0,CRACKER MFG.,Manufacturing,16,72,"$6,224,998 ","$12,284,322 ","$266,214,837 ","$440,854,976 ",1.09,1.12,2.34,2.79,2.71,53%,Written safety program,0,0,0,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,High claims frequency (> 2) class code,Average loss ratio for class above 50%,0,0,0,0,0
Maryland,2001,0,CRACKER MFG.,Manufacturing,12,72,"$106,796 ","$12,284,322 ","$3,315,991 ","$440,854,976 ",1.11,1.12,3.22,2.79,2.71,53%,Written safety program,0,0,0,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,High claims frequency (> 2) class code,Average loss ratio for class above 50%,0,0,0,0,0
South Dakota,2001,0,CRACKER MFG.,Manufacturing,6,72,"$3,529,966 ","$12,284,322 ","$70,868,600 ","$440,854,976 ",1.3,1.12,4.98,2.79,2.71,53%,Written safety program,0,0,0,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,High claims frequency (> 2) class code,Average loss ratio for class above 50%,0,0,0,0,0
Utah,2001,0,CRACKER MFG.,Manufacturing,26,72,"$1,821,178 ","$12,284,322 ","$84,587,541 ","$440,854,976 ",0.97,1.12,2.15,2.79,2.71,53%,Written safety program,0,0,0,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,High claims frequency (> 2) class code,Average loss ratio for class above 50%,0,0,0,0,0
North Carolina,2706,0,LOGGING OR LUMBERING-ALL OPERATIONS & DRIVERS (NC),Manufacturing,1766,2134,"$38,398,516 ","$40,266,751 ","$214,676,483 ","$222,277,820 ",0.91,0.91,17.89,18.12,1.22,43%,Written safety program,0,0,Low claims frequency (< 2) class code,Average loss ratio for class below 50%,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,0,0,Travel radius greater than 50 miles,0,0,0,0
Arkansas,2812,0,CABINET WORKS-WITH POWER MACHINERY,Manufacturing,604,4536,"$6,277,061 ","$67,831,343 ","$155,535,769 ","$1,460,295,207 ",0.97,0.96,4.04,4.65,3.79,50%,Written safety program,0,0,0,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,High claims frequency (> 2) class code,Average loss ratio for class above 50%,0,0,0,0,0
Kentucky,2812,0,CABINET WORKS-WITH POWER MACHINERY,Manufacturing,375,4536,"$9,349,844 ","$67,831,343 ","$212,703,708 ","$1,460,295,207 ",0.92,0.96,4.4,4.65,3.79,50%,Written safety program,0,0,0,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,High claims frequency (> 2) class code,Average loss ratio for class above 50%,0,0,0,0,0
Montana,2812,0,CABINET WORKS-WITH POWER MACHINERY,Manufacturing,514,4536,"$6,997,616 ","$67,831,343 ","$75,112,643 ","$1,460,295,207 ",0.98,0.96,9.32,4.65,3.79,50%,Written safety program,0,0,0,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,High claims frequency (> 2) class code,Average loss ratio for class above 50%,0,0,0,0,0
South Dakota,2812,0,CABINET WORKS-WITH POWER MACHINERY,Manufacturing,223,4536,"$5,847,804 ","$67,831,343 ","$171,927,508 ","$1,460,295,207 ",0.91,0.96,3.4,4.65,3.79,50%,Written safety program,0,0,0,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,High claims frequency (> 2) class code,Average loss ratio for class above 50%,0,0,0,0,0
Utah,2812,0,CABINET WORKS-WITH POWER MACHINERY,Manufacturing,1516,4536,"$17,877,255 ","$67,831,343 ","$517,236,742 ","$1,460,295,207 ",0.97,0.96,3.46,4.65,3.79,50%,Written safety program,0,0,0,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,High claims frequency (> 2) class code,Average loss ratio for class above 50%,0,0,0,0,0
Alabama,4112,0,INCANDESCENT LAMP MFG.,Manufacturing,0,610,"$80,503 ","$52,630,674 ","$6,551,553 ","$3,492,294,758 ",1.2,0.73,1.23,1.51,0.7,67%,Written safety program,0,0,Low claims frequency (< 2) class code,0,Specialized Carrier recommended,Nonstandard risk type: Manufacturing,0,0,Average loss ratio for class above 50%,0,0,0,0,0
