Alabama,31325,98,ACADIA INS CO,"$112,794 ",3/1/2012,FL,4/1/2012,No,1.15,1.15,$200 
Alabama,12304,9000,ACCIDENT FUND GENERAL INSURANCE CO.,"$292,493 ",3/1/2012,FL,3/1/2012,No,1.61,1.61,$200 
Alabama,10166,572,ACCIDENT FUND INS CO OF AMER,"$957,551 ",3/1/2012,FL,3/1/2012,No,1.4,1.4,$200 
Alabama,12305,9001,ACCIDENT FUND NATIONAL INSURANCE CO.,"$273,293 ",3/1/2012,FL,3/1/2012,No,1.19,1.19,$200 
Alabama,11573,9002,Accident Insurance Co Inc,"$679,697 ",3/1/2012,FL,3/1/2012,No,1.2,1.2,$200 
Alabama,91901,9002,ACCIDENT INSURANCE COMPANY - TIER 2,  N/A ,3/1/2012,FL,3/1/2012,No,1.35,1.35,$200 
Alabama,92001,9002,ACCIDENT INSURANCE COMPANY - TIER 3,  N/A ,3/1/2012,FL,3/1/2012,No,1.5,1.5,$200 
Alabama,22667,901,ACE AMERICAN INS CO,"$6,348,075 ",3/1/2012,FL,3/1/2012,No,1.32,1.32,$200 
Alabama,20702,901,ACE FIRE UNDERWRITERS INS CO,"$223,865 ",3/1/2012,FL,3/1/2012,No,1.188,1.188,$200 
Alabama,20699,901,ACE PROP & CAS INS CO,"$534,762 ",3/1/2012,FL,3/1/2012,No,1.467,1.467,$200 
Alabama,19984,594,ACIG Ins Co,"$130,554 ",3/1/2012,FL,3/1/2012,No,1.35,1.35,$200 
Alabama,40517,9004,ADVANTAGE WORKERS COMP INS CO,"$112,667 ",3/1/2012,FL,3/1/2012,No,1.29,1.29,$200 
Alabama,19399,12,AIU INS CO,($437),3/1/2012,FL,3/1/2012,No,1.403,1.403,$200 
Alabama,99901,1,ALABAMA ASSIGNED RISK,  N/A ,3/1/2012,FL,3/1/2012,No,2.719,2.719,$200 
Alabama,11242,9007,ALLIED EASTERN INDEMNITY COMPANY,"$16,442 ",3/1/2012,FL,3/1/2012,No,1.5,1.5,$200 
Alabama,41840,88,ALLMERICA FINANCIAL BENEFIT INS CO,$512 ,3/1/2012,FL,3/1/2012,No,1.12,1.12,$200 
Alabama,19720,957,AMERICAN ALT INS CORP,"$12,419 ",3/1/2012,FL,3/1/2012,No,1.634,1.634,$200 
Alabama,19690,163,AMERICAN ECONOMY INS CO,"$180,859 ",3/1/2012,FL,6/1/2012,No,1.441,1.441,$200 
Alabama,20613,44,AMERICAN EMPLOYERS INS CO,"$494,043 ",3/1/2012,FL,3/1/2012,No,1.593,1.593,$200 
Alabama,24066,148,AMERICAN FIRE & CAS CO,"$398,580 ",3/1/2012,FL,6/1/2012,No,1.232,1.232,$200 
Alabama,26247,9014,AMERICAN GUARANTEE & LIABILITY INS,"$1,153,967 ",3/1/2012,FL,3/1/2012,No,1.309,1.309,$200 
Alabama,21857,761,AMERICAN INS CO,"$250,393 ",3/1/2012,FL,3/1/2012,No,1.366,1.366,$200 
Alabama,91701,761,AMERICAN INSURANCE COMPANY - TIER 2,  N/A ,3/1/2012,FL,3/1/2012,No,1,1,$200 
Alabama,31895,680,AMERICAN INTERSTATE INS CO,"$6,104,971 ",3/1/2012,FX,7/1/2012,No,1.5,1.5,$200 
Alabama,15911,9016,AMERICAN MINING INS CO INC,"$9,775,750 ",3/1/2012,FL,9/3/2012,No,1.2,1.2,$200 
Alabama,41300,9017,AMERICAN RESOURCES INS CO INC,  N/A ,3/1/2012,FL,10/1/2012,No,1.5,1.5,$200 
Alabama,93701,9017,American Resources Ins. Co. Inc. - Tier 2,  N/A ,3/1/2012,FL,10/1/2012,No,1.2,1.2,$200 
Alabama,19704,163,AMERICAN STATES INS CO,"$360,550 ",3/1/2012,FL,6/1/2012,No,1.595,1.595,$200 
Alabama,40142,212,AMERICAN ZURICH INS CO,"$8,020,775 ",3/1/2012,FL,3/1/2012,No,1.078,1.078,$200 
Alabama,19488,124,AMERISURE INS CO,"$2,824,747 ",3/1/2012,FL,3/1/2012,No,1.45,1.45,$200 
Alabama,91601,124,AMERISURE INSURANCE COMPANY - TIER 2,  N/A ,3/1/2012,FX,3/1/2012,No,1.1,1.1,$200 
Alabama,23396,124,AMERISURE MUT INS CO,"$1,613,683 ",3/1/2012,FL,3/1/2012,No,1.65,1.65,$200 
Alabama,42390,828,AMGUARD INS CO,"$142,745 ",3/1/2012,FL,3/1/2012,No,1.41,1.41,$200 
Alabama,10984,9024,ANSUR AMERICA INS,"$80,206 ",3/1/2012,FL,3/1/2012,No,1.58,1.58,$200 
Alabama,11150,191,ARCH INS CO,"$2,690,496 ",3/1/2012,FL,3/1/2012,No,1.5,1.5,$200 
Alabama,19860,457,ARGONAUT GREAT CENTRAL INS CO,"$75,425 ",3/1/2012,FL,3/1/2012,No,1.4,1.4,$200 
Alabama,19828,457,ARGONAUT-MIDWEST INS CO,"$72,959 ",3/1/2012,FL,3/1/2012,No,1.164,1.164,$200 
Alabama,11240,107,ASSOCIATION INS CO,"$206,571 ",3/1/2012,FL,3/1/2012,No,1.44,1.44,$200 
Alabama,19305,212,ASSURANCE CO OF AMER,"$219,642 ",3/1/2012,FL,5/1/2012,No,1.639,1.639,$200 
Alabama,27154,24,ATLANTIC SPECIALTY INS CO,  N/A ,3/1/2012,FL,3/1/2012,No,1.148,1.148,$200 
Alabama,93401,24,Atlantic Specialty Insurance - Tier 2,  N/A ,3/1/2012,FL,3/1/2012,No,1.344,1.344,$200 
